Outer fold,baseline_test_error,logistic_test_error,lambda,KNN_test_error,k-parameter
1,0.34408602150537637,0.25806451612903225,1e-16,0.3010752688172043,2.0
2,0.34408602150537637,0.3655913978494624,1e-16,0.41935483870967744,3.0
3,0.34408602150537637,0.2903225806451613,1e-16,0.3225806451612903,8.0
4,0.34408602150537637,0.26881720430107525,1e-16,0.3118279569892473,10.0
5,0.34408602150537637,0.3333333333333333,1e-16,0.3655913978494624,3.0
6,0.34408602150537637,0.23655913978494625,1e-16,0.3118279569892473,3.0
7,0.34408602150537637,0.24731182795698925,1e-16,0.3655913978494624,5.0
8,0.34408602150537637,0.2903225806451613,1e-16,0.3333333333333333,2.0
9,0.34408602150537637,0.22580645161290322,1e-16,0.27956989247311825,8.0
10,0.34408602150537637,0.24731182795698925,1e-16,0.3225806451612903,3.0
