Outer fold,test_data_size,baseline_test_error,linear_test_error,lambda,ANN_test_error,n_hidden_units
1,47.0,9.603650498945283,7.683719802968527,40,10.681462,8
2,47.0,24.758505485797595,20.16687256023008,40,23.115952,9
3,46.0,15.3474027575894,10.228317289487862,50,10.612231,10
4,46.0,42.80722714657834,31.603996898807555,40,29.73167,9
5,46.0,12.091599399616307,5.872390995708243,60,6.7981195,10
6,46.0,28.096129415333763,24.53172899380824,40,28.120565,8
7,46.0,21.694952305938667,18.446538961991074,50,21.672005,9
8,46.0,28.568292079944968,25.940069077457135,40,31.69391,4
9,46.0,11.17438283380499,7.5229081317384905,60,7.1124043,8
10,46.0,17.743126723292388,13.650054227252928,40,13.2454195,5
